BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	tmp	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	collection_date	geo_loc_name	host	isolation_source	lat_lon
SAMN06768056	SRX2748343	130042N	17	8	SRR5460330	SRS2134475	130042N	99	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768055	SRX2748344	129940T	17	9	SRR5460331	SRS2134477	129940T	98	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768054	SRX2748345	129940N	18	9	SRR5460332	SRS2134476	129940N	97	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768053	SRX2748346	129820T	16	8	SRR5460333	SRS2134478	129820T	96	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768052	SRX2748347	129820N	18	9	SRR5460334	SRS2134479	129820N	95	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768085	SRX2748314	852693_N	20	10	SRR5460301	SRS2134446	852693_N	128	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768086	SRX2748313	853878_C	18	9	SRR5460300	SRS2134444	853878_C	129	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768087	SRX2748312	853878_N	18	9	SRR5460299	SRS2134445	853878_N	130	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768051	SRX2748348	129639T	17	9	SRR5460335	SRS2134481	129639T	94	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768050	SRX2748349	129639N	18	9	SRR5460336	SRS2134480	129639N	93	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768049	SRX2748350	129469T	18	9	SRR5460337	SRS2134482	129469T	92	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768048	SRX2748351	129469N	18	9	SRR5460338	SRS2134483	129469N	91	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768047	SRX2748352	129363T	18	9	SRR5460339	SRS2134484	129363T	90	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768046	SRX2748353	129363N	15	8	SRR5460340	SRS2134485	129363N	89	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768045	SRX2748354	129348T	16	8	SRR5460341	SRS2134486	129348T	88	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768044	SRX2748355	129348N	20	10	SRR5460342	SRS2134489	129348N	87	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768043	SRX2748356	129338T	20	10	SRR5460343	SRS2134487	129338T	86	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768042	SRX2748357	129338N	20	10	SRR5460344	SRS2134488	129338N	85	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768041	SRX2748358	129260T	15	7	SRR5460345	SRS2134490	129260T	84	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768040	SRX2748359	129260N	17	8	SRR5460346	SRS2134491	129260N	83	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768039	SRX2748360	129136T	16	8	SRR5460347	SRS2134492	129136T	82	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768038	SRX2748361	129136N	17	9	SRR5460348	SRS2134493	129136N	81	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768037	SRX2748362	129082T	16	8	SRR5460349	SRS2134494	129082T	80	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768036	SRX2748363	129082N	19	10	SRR5460350	SRS2134496	129082N	79	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768035	SRX2748364	128952T	20	10	SRR5460351	SRS2134495	128952T	78	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768034	SRX2748365	128952N	16	8	SRR5460352	SRS2134497	128952N	77	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768033	SRX2748366	128720T	20	10	SRR5460353	SRS2134498	128720T	76	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768032	SRX2748367	128720N	15	8	SRR5460354	SRS2134499	128720N	75	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768031	SRX2748368	128668T	19	10	SRR5460355	SRS2134500	128668T	74	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768030	SRX2748369	128668N	18	9	SRR5460356	SRS2134501	128668N	73	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768029	SRX2748370	128468T	17	8	SRR5460357	SRS2134503	128468T	72	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768028	SRX2748371	128468N	18	9	SRR5460358	SRS2134502	128468N	71	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768027	SRX2748372	128228T	16	8	SRR5460359	SRS2134504	128228T	70	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768026	SRX2748373	128228N	20	10	SRR5460360	SRS2134505	128228N	69	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768025	SRX2748374	127874T	16	8	SRR5460361	SRS2134506	127874T	68	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768024	SRX2748375	127874N	16	8	SRR5460362	SRS2134508	127874N	67	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768023	SRX2748376	127624T	18	9	SRR5460363	SRS2134507	127624T	66	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768022	SRX2748377	127624N	19	10	SRR5460364	SRS2134509	127624N	65	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768021	SRX2748378	127582T	19	9	SRR5460365	SRS2134510	127582T	64	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768020	SRX2748379	127582N	18	9	SRR5460366	SRS2134511	127582N	63	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768019	SRX2748380	127362T	16	8	SRR5460367	SRS2134512	127362T	62	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768018	SRX2748381	127362N	16	8	SRR5460368	SRS2134513	127362N	61	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768017	SRX2748382	127201T	17	9	SRR5460369	SRS2134515	127201T	60	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768016	SRX2748383	127201N	18	9	SRR5460370	SRS2134514	127201N	59	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768015	SRX2748384	127074T	15	8	SRR5460371	SRS2134516	127074T	58	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768014	SRX2748385	127074N	16	8	SRR5460372	SRS2134519	127074N	57	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768013	SRX2748386	126876T	18	9	SRR5460373	SRS2134517	126876T	56	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768012	SRX2748387	126876N	15	7	SRR5460374	SRS2134518	126876N	55	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768011	SRX2748388	126862T	15	7	SRR5460375	SRS2134520	126862T	54	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768010	SRX2748389	126862N	16	8	SRR5460376	SRS2134522	126862N	53	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768009	SRX2748390	126706T	17	8	SRR5460377	SRS2134521	126706T	52	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768008	SRX2748391	126706N	20	10	SRR5460378	SRS2134523	126706N	51	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768007	SRX2748392	125803T	21	10	SRR5460379	SRS2134524	125803T	50	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
