AvgSpotLen	BioSample	DATASTORE_filetype	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	env_feature	env_material	host_subject_id	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	collection_date	env_biome	geo_loc_name	host	isol_growth_condt	isolate	lat_lon
598	SAMN06113527	contigssra	SRX2398676	FAS-1 PILOT 46	121	80	SRR5080262	SRS1839602	FAS_RF30_pilot	gut mucosa	biopsy	CM20	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113520	contigssra	SRX2398678	FAS-1 PILOT 39	83	50	SRR5080264	SRS1839603	FAS_RF21_pilot	oral cavity	saliva	CM19	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
599	SAMN06113529	contigssra	SRX2398679	FAS-1 PILOT 48	150	100	SRR5080265	SRS1839604	FAS_RF32_pilot	gut mucosa	biopsy	CM23	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
599	SAMN06113498	contigssra	SRX2398681	FAS-1 PILOT 17	113	73	SRR5080267	SRS1839605	FAS_RFa6_pilot	oral cavity	saliva	CFP7	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
597	SAMN06113502	contigssra	SRX2398680	FAS-1 PILOT 21	97	71	SRR5080266	SRS1839606	FAS_1I_pilot	oral cavity	saliva	CM7	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
601	SAMN06113490	contigssra	SRX2398682	FAS-1 PILOT 09	95	60	SRR5080268	SRS1839607	FAS_RFa18_pilot	digestive system	stool	CFP9	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113496	contigssra	SRX2398683	FAS-1 PILOT 15	240	142	SRR5080269	SRS1839608	FAS_RFa4_pilot	oral cavity	saliva	CFP4	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
588	SAMN06113513	contigssra	SRX2398684	FAS-1 PILOT 32	558	418	SRR5080270	SRS1839609	FAS_1U_pilot	gut mucosa	biopsy	CM11	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
601	SAMN06113501	contigssra	SRX2398686	FAS-1 PILOT 20	71	46	SRR5080272	SRS1839610	FAS_RFa9_pilot	oral cavity	saliva	CFP10	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113531	contigssra	SRX2398687	FAS-1 PILOT 50	158	94	SRR5080273	SRS1839611	FAS_RF7_pilot	digestive system	stool	CM24	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113493	contigssra	SRX2398685	FAS-1 PILOT 12	64	44	SRR5080271	SRS1839612	FAS_RFa20_pilot	digestive system	stool	CFP11	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
601	SAMN06113500	contigssra	SRX2398689	FAS-1 PILOT 19	67	43	SRR5080275	SRS1839613	FAS_RFa8_pilot	oral cavity	saliva	CFP9	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113483	contigssra	SRX2398690	FAS-1 PILOT 02	299	178	SRR5080276	SRS1839614	FAS_RFa11_pilot	digestive system	stool	CFP1	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113519	contigssra	SRX2398688	FAS-1 PILOT 38	74	44	SRR5080274	SRS1839615	FAS_RF20_pilot	oral cavity	saliva	CM18	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
601	SAMN06113484	contigssra	SRX2398692	FAS-1 PILOT 03	36	24	SRR5080278	SRS1839616	FAS_RFa12_pilot	digestive system	stool	CFP2	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113492	contigssra	SRX2398691	FAS-1 PILOT 11	23	16	SRR5080277	SRS1839617	FAS_RFa1_pilot	oral cavity	saliva	CFP1	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
583	SAMN06113510	contigssra	SRX2398694	FAS-1 PILOT 29	552	418	SRR5080280	SRS1839618	FAS_1R_pilot	gut mucosa	biopsy	CM10	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113514	contigssra	SRX2398693	FAS-1 PILOT 33	90	53	SRR5080279	SRS1839619	FAS_RF12_pilot	digestive system	stool	CM18	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
597	SAMN06113509	contigssra	SRX2398695	FAS-1 PILOT 28	124	93	SRR5080281	SRS1839620	FAS_1Q_pilot	digestive system	stool	CM10	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
596	SAMN06113503	contigssra	SRX2398696	FAS-1 PILOT 22	110	80	SRR5080282	SRS1839621	FAS_1J_pilot	digestive system	stool	CM7	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
601	SAMN06113516	contigssra	SRX2398697	FAS-1 PILOT 35	345	213	SRR5080283	SRS1839622	FAS_RF14_pilot	digestive system	stool	CM20	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113518	contigssra	SRX2398698	FAS-1 PILOT 37	124	73	SRR5080284	SRS1839623	FAS_RF18_pilot	digestive system	stool	CM23	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113526	contigssra	SRX2398699	FAS-1 PILOT 45	53	32	SRR5080285	SRS1839624	FAS_RF2_pilot	oral cavity	saliva	CM24	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
